Company,Rating,Reviews,Salaries,Jobs
TCS,3.3,1.2L,10.4L,5.1k
Accenture,3.7,76.2k,7.3L,14.8k
Wipro,3.6,67.1k,4.9L,3
Cognizant,3.7,63.4k,6.1L,915
Capgemini,3.6,55.6k,5L,2.1k
HDFC Bank,3.8,54.7k,1.5L,539
Infosys,3.5,50.5k,5.3L,3.5k
HCLTech,3.4,48.3k,4L,285
ICICI Bank,4.0,47.2k,1.6L,17
Tech Mahindra,3.3,44.8k,2.9L,805
Genpact,3.6,44k,2.4L,523
TP,3.9,40.2k,1L,1.5k
Axis Bank,3.6,34.6k,1L,224
Jio,4.4,34.3k,61.1k,--
Concentrix Corporation,3.5,33.3k,1.3L,29
Amazon,3.9,32.8k,1.6L,85
Reliance Retail,3.9,28.1k,74.9k,86
iEnergizer,4.5,27.9k,25.2k,76
LTM Limited,3.6,27.4k,2L,721
HDB Financial Services,3.9,26.6k,49.3k,4
IBM,3.9,26.6k,2.2L,239
Larsen & Toubro Limited,3.9,24.8k,77k,273
Deloitte,3.6,24.4k,2.8L,646
Kotak Mahindra Bank,3.6,23.3k,89.4k,205
Reliance Industries,4.0,20.9k,76k,110
Vodafone Idea,3.9,18k,48.5k,87
Bharti Airtel,3.8,17.6k,50.2k,172
BYJU'S,3.2,16.4k,49.5k,5
WNS,3.3,15.8k,71.2k,52
IDFC FIRST Bank,4.0,15.7k,51.4k,43
Ernst & Young,3.4,15.3k,1.5L,2.8k
IndusInd Bank,3.4,14.8k,53k,189
AU Small Finance Bank,3.8,14.7k,30.9k,132
Tata Motors,4.1,14.6k,44.4k,24
Bajaj Finserv,3.9,13.8k,32.4k,17
Flipkart,3.9,13.5k,57.9k,120
Muthoot FinCorp,4.5,13.5k,10k,61
PwC,3.3,13.3k,1.3L,1.5k
Mahindra & Mahindra,4.0,12.6k,41.9k,1
HDFC Life,3.8,12.6k,33.9k,229
Infosys BPM,3.5,12.5k,78.6k,38
DXC Technology,3.6,12.3k,75.2k,72
Bandhan Bank,3.7,11.8k,28.4k,--
Digitide Solutions,3.4,10.7k,27.4k,335
Yes Bank,3.7,10.6k,43.4k,198
Mphasis,3.3,10.6k,75.5k,53
Tata Steel,4.0,10.3k,34.9k,--
Quess,3.8,10.1k,32k,19
Asian Paints,3.9,10k,26.5k,87
UltraTech Cement,4.1,9.9k,25.3k,81
Maruti Suzuki,4.1,9.9k,29.6k,665
Startek,3.0,9.9k,25.1k,271
Bajaj Finance,3.9,9.7k,23.7k,9.3k
Paytm,3.2,9.7k,35.2k,1.1k
Shriram Finance,3.9,9.5k,16.1k,6
Sutherland Global Services,3.3,9.4k,36.9k,353
Equitas Small Finance Bank,4.3,9.2k,14k,54
Coforge,3.3,9.2k,69.2k,355
Wells Fargo,3.6,9.1k,67.1k,141
Cipla,4.1,8.9k,26.9k,44
EXL Service,3.6,8.9k,45.7k,94
Ericsson,3.9,8.6k,42.6k,41
Samsung,3.9,8.5k,26.8k,56
Dr. Reddy's,4.0,8.5k,26.3k,74
JSW Steel,3.9,8.3k,32.7k,179
Optum Global Solutions,4.0,8.3k,53.3k,217
Delhivery,3.8,8.2k,23.1k,419
JPMorgan Chase & Co.,3.8,8.1k,94.3k,398
